id;nombre;email;telefono;observaciones
1;Guapo Berkshire;Miguelngel_Muro41@yahoo.com;program index;invoice Implementación optical
2;Plástico auxiliary Verde;Ariadna_Posada@hotmail.com;Plástico Refinado;open-source Inteligente
3;secundaria Loan HTTP;Manuela.Cepeda95@gmail.com;quantify Increible;embrace
4;Bedfordshire;Ramona.Montoya@hotmail.com;e-business;invoice Bacon
5;Barbados cross-platform en;Roco.Romo65@yahoo.com;hibrida ADP;connecting
6;explícita deposit;Carmen.Crdova@yahoo.com;Sorprendente Amarillo;input Avenida
7;Silla driver;JosMara.Hidalgo@hotmail.com;acompasada Berkshire XML;whiteboard Auto
8;collaborative Borders visionary;Mercedes.Sosa34@yahoo.com;Buckinghamshire Bedfordshire;dinámica
9;indexing;Maril90@gmail.com;JSON Moldavia EXE;mobile Distrito
10;Madera;Rubn.Almonte@yahoo.com;SMS Metal;Bacon deliverables Avon
